,comment_id,video_id,comment_text,comment_published_time,comment_obtained_time,comment_like_count,comment_reply_count,spam_without_context,spam_with_context,non_english
0,UgxhORrhB03tRU1yMZp4AaABAg,uelHwf8o7_U,2024,2024-02-14T19:53:26Z,2024-02-21T05:46:33Z,1,0,0,0,0
1,UgywlzLwtw4SQk70Nyl4AaABAg,uelHwf8o7_U,1:54 me engañaron y escuche esta canción por 1 vez y ya la escucho como 36 veces😅,2024-02-03T14:53:21Z,2024-02-21T05:46:34Z,1,0,,,1
2,UgxNC-rEjUqGP6zfFkJ4AaABAg,uelHwf8o7_U,VH1 Music English songs,2024-02-18T08:21:42Z,2024-02-21T05:46:33Z,0,0,0,0,0
3,Ugx4ybmjQSaxiA8xoS14AaABAg,uelHwf8o7_U,2024?,2024-01-28T20:53:13Z,2024-02-21T05:46:34Z,1,0,0,0,0
4,Ugwp8koym2Ll3BR3a8h4AaABAg,uelHwf8o7_U,Megan Fox was beauty and sexy there,2024-02-11T14:14:41Z,2024-02-21T05:46:33Z,1,0,0,0,0
5,Ugy0X1JTVihP_AAZ2tp4AaABAg,uelHwf8o7_U,❤,2024-02-02T11:06:56Z,2024-02-21T05:46:34Z,1,0,0,0,0
6,UgwhEDJ3q7d0iNBn6A94AaABAg,uelHwf8o7_U,WHO WATCHING 2024?,2024-01-31T03:27:22Z,2024-02-21T05:46:34Z,2,0,0,0,0
7,UgyZedxAZev0VpEX0Zx4AaABAg,uelHwf8o7_U,2024 não sai da minha play lista no churrasco de domingo,2024-02-20T08:09:13Z,2024-02-21T05:46:33Z,0,0,,,1
8,Ugzaeuesi7bqgMrLCAt4AaABAg,uelHwf8o7_U,I am getting old but this song never will.. you are great eminem,2024-02-12T18:22:59Z,2024-02-21T05:46:33Z,1,0,0,0,0
9,UgxVHQCFCEFgsHxlVNZ4AaABAg,uelHwf8o7_U,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,2024-01-30T13:19:45Z,2024-02-21T05:46:34Z,0,0,0,0,0
10,UgwYhu5VzQganXLBd0F4AaABAg,uelHwf8o7_U,Naples,2024-02-05T23:17:49Z,2024-02-21T05:46:33Z,1,0,1,1,0
11,UgxKom-wtLyKTIF1mQZ4AaABAg,uelHwf8o7_U,It's 2024 who's still here?,2024-01-31T15:06:43Z,2024-02-21T05:46:34Z,0,1,0,0,0
12,Ugwl7LbB8kRvR3oUMKt4AaABAg,uelHwf8o7_U,Esto es una obra de arte❤,2024-02-18T15:39:25Z,2024-02-21T05:46:33Z,1,0,,,1
13,Ugz0sN2kvQ2I_gjn16p4AaABAg,uelHwf8o7_U,17 de fevereiro as 1 e 54 da madrugada e estou aq escutando esse hino ❤🇧🇷,2024-02-17T04:54:09Z,2024-02-21T05:46:33Z,5,0,,,1
14,Ugzl7YghqU3XE3fhcxx4AaABAg,uelHwf8o7_U,Can't get enough!Love EM!Rihanna too!👌,2024-02-10T01:10:44Z,2024-02-21T05:46:33Z,0,0,0,0,0
15,Ugxs9Rhrh8jZygSW_Px4AaABAg,uelHwf8o7_U,One good song never no will die❤️❤️20.02.2024,2024-02-20T08:25:43Z,2024-02-21T05:46:33Z,0,0,0,0,0
16,UgyPIMgcMUs7vUQJzKB4AaABAg,uelHwf8o7_U,ALWAYS HERE FOR EM,2024-02-12T03:58:00Z,2024-02-21T05:46:33Z,0,0,0,0,0
17,UgzvPQM59l9Il0M2_i54AaABAg,uelHwf8o7_U,My favorite song,2024-02-09T07:33:36Z,2024-02-21T05:46:33Z,0,0,0,0,0
18,UgxxKJBVrFwOjmh0OrZ4AaABAg,uelHwf8o7_U,i was 4 years old when this came out,2024-01-28T15:09:02Z,2024-02-21T05:46:34Z,1,0,0,0,0
19,UgwdoMPxDSMdZBn286p4AaABAg,uelHwf8o7_U,Well…never thought I’d see merry making out with Megan fox 😂,2024-02-11T17:20:58Z,2024-02-21T05:46:33Z,1,0,0,0,0
