,comment_id,video_id,comment_text,comment_published_time,comment_obtained_time,comment_like_count,comment_reply_count,spam_without_context,spam_with_context,non_english
0,Ugz_y_7xY4WMrsWON2t4AaABAg,KOEfDvr4DcQ,Mr beast give me a Samsung S24 ultra.,2024-02-21T10:33:43Z,2024-02-21T10:42:21Z,1,0,0,0,0
1,UgwgPW9-6Q3G1ZFAEex4AaABAg,KOEfDvr4DcQ,Y los feastables,2024-02-20T22:31:53Z,2024-02-21T10:42:22Z,0,0,,,1
2,Ugw3nvIvQS0AhF405q54AaABAg,KOEfDvr4DcQ,"Peace be upon you, Mr. Best. Can you give me strengths in the game PUBG Mobile? Please, please, these hands are mine in the game. 5729207342 Please, the best YouTuber in the entire universe.",2024-02-21T05:16:58Z,2024-02-21T10:42:21Z,1,0,0,0,0
3,UgyypFEvmzMhnUqaC954AaABAg,KOEfDvr4DcQ,"Jimmy el doblaje de tu voz con FEDE es genial ,el doblaje de. Tu voz con la de FEDE",2024-02-21T04:01:55Z,2024-02-21T10:42:21Z,0,0,,,1
4,UgzIOBel4I3T7LSgnxF4AaABAg,KOEfDvr4DcQ,맥의 3번째 도전을 기대할게요.,2024-02-21T08:02:18Z,2024-02-21T10:42:21Z,0,0,,,1
5,UgyIIhmYmcPqjsuO7h54AaABAg,KOEfDvr4DcQ,Meregala algo,2024-02-20T21:23:40Z,2024-02-21T10:42:22Z,0,0,,,1
6,UgzVVH7YSq_D-QA8qMd4AaABAg,KOEfDvr4DcQ,that was so sad😢❤,2024-02-21T01:45:47Z,2024-02-21T10:42:21Z,0,0,0,0,0
7,Ugxz6uQrF_t2UTDAE_d4AaABAg,KOEfDvr4DcQ,Он не умрёт,2024-02-21T08:00:35Z,2024-02-21T10:42:21Z,0,0,,,1
8,UgzaGTr-WUoBzhMollR4AaABAg,KOEfDvr4DcQ,Soy mexicano,2024-02-21T03:45:36Z,2024-02-21T10:42:21Z,0,0,,,1
9,UgykkjgUHuzmPqq4WG54AaABAg,KOEfDvr4DcQ,Yo por el nolan porque es color azul😅😅,2024-02-21T00:43:08Z,2024-02-21T10:42:22Z,0,0,,,1
10,Ugx2LDNr_SHaVmbRCH94AaABAg,KOEfDvr4DcQ,Nou Mack!!!!!!!!!!!!!,2024-02-20T21:24:36Z,2024-02-21T10:42:22Z,0,0,,,1
11,UgzdebxdoXAY0T8fLpJ4AaABAg,KOEfDvr4DcQ,Sorry but he has had two chances at this. Give someone else a chance. That was all him trying to go to fast on the star. ⭐️,2024-02-21T03:49:10Z,2024-02-21T10:42:21Z,0,0,0,0,0
12,Ugzjc34J7DbO_xLgPRx4AaABAg,KOEfDvr4DcQ,Amazing challenge 😊,2024-02-21T08:48:30Z,2024-02-21T10:42:21Z,0,0,0,0,0
13,UgxCa48yWHPBi0v4cJ14AaABAg,KOEfDvr4DcQ,does this mean theirs 100gs at the bottom of a lake? ima bout to be wet,2024-02-20T23:13:19Z,2024-02-21T10:42:22Z,0,0,0,0,0
14,UgxKTsJvWjvrzhLcPQh4AaABAg,KOEfDvr4DcQ,Mack is broken hero 😂,2024-02-21T06:19:27Z,2024-02-21T10:42:21Z,0,0,0,0,0
15,UgyTrarbSZW3bG6dP5x4AaABAg,KOEfDvr4DcQ,Iltimos bizgaham yordam bering onam kasal Allah rozi bulsin davilanishiga yordam bering,2024-02-21T06:44:23Z,2024-02-21T10:42:21Z,0,0,,,1
